TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
19 anos,F,Preta,Brasileiro(a),2020,Não Respondeu,3526704,35,SP,Presente,Presente,Presente,Presente,565.1,599.6,608.0,696.0,700.0,G
Entre 31 e 35 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,3513009,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,D
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,3205200,32,ES,Presente,Presente,Presente,Presente,637.6,605.2,575.1,751.9,740.0,M
Entre 36 e 40 anos,F,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,2107803,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,B
24 anos,F,Branca,Brasileiro(a),2013,Não Respondeu,2501807,25,PB,Faltou,Faltou,Faltou,Faltou,,,,,,E
24 anos,M,Preta,Brasileiro(a),2018,Não Respondeu,1500107,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,B
22 anos,M,Branca,Brasileiro(a),Não informado,Pública,1508100,15,PA,Presente,Presente,Presente,Presente,445.1,565.5,510.2,628.3,460.0,B
Menor de 17 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,5210901,52,GO,Presente,Presente,Presente,Presente,477.3,469.4,422.8,545.3,520.0,H
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3525300,35,SP,Presente,Presente,Presente,Presente,525.5,572.0,560.0,596.5,780.0,D
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,4317103,43,RS,Presente,Presente,Presente,Presente,504.8,574.1,541.4,503.1,680.0,D
21 anos,M,Indígena,Brasileiro(a),Não informado,Não Respondeu,3205002,32,ES,Presente,Presente,Presente,Presente,346.1,395.1,335.9,428.5,0.0,D
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2931350,29,BA,Presente,Presente,Presente,Presente,546.1,614.4,563.1,643.2,740.0,D
24 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,A
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,3302502,33,RJ,Presente,Presente,Presente,Presente,562.8,592.8,587.3,746.6,620.0,M
18 anos,F,Branca,Brasileiro(a),Não informado,Privada,4318705,43,RS,Presente,Presente,Presente,Presente,613.1,668.4,597.8,629.5,700.0,G
Entre 36 e 40 anos,M,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,2108207,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 26 e 30 anos,M,Branca,Brasileiro(a),2011,Não Respondeu,3136702,31,MG,Presente,Presente,Presente,Presente,393.5,655.2,626.0,662.7,600.0,C
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,5002951,50,MS,Faltou,Faltou,Faltou,Faltou,,,,,,D
Menor de 17 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,2305407,23,CE,Presente,Presente,Presente,Presente,407.1,379.8,442.6,604.2,0.0,B
Entre 26 e 30 anos,F,Branca,Brasileiro(a),2010,Não Respondeu,4205407,42,SC,Faltou,Faltou,Faltou,Faltou,,,,,,M
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,2918001,29,BA,Presente,Presente,Presente,Presente,499.2,574.2,481.9,646.3,540.0,C
Entre 26 e 30 anos,M,Parda,Brasileiro(a),Não informado,Pública,3540705,35,SP,Presente,Presente,Presente,Presente,481.9,529.5,497.9,500.2,560.0,D
Entre 36 e 40 anos,F,Preta,Brasileiro(a),Não informado,Não Respondeu,2918407,29,BA,Presente,Presente,Presente,Presente,410.7,490.8,392.4,458.4,560.0,B
Entre 56 e 60 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2408003,24,RN,Faltou,Faltou,Faltou,Faltou,,,,,,B
19 anos,F,Preta,Brasileiro(a),2019,Não Respondeu,3557105,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,A
Entre 36 e 40 anos,M,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,1502103,15,PA,Presente,Presente,Presente,Presente,493.7,483.4,350.6,380.8,480.0,A
18 anos,M,Amarela,Brasileiro(a),2020,Não Respondeu,2933307,29,BA,Presente,Presente,Presente,Presente,399.7,484.8,464.1,485.3,620.0,C
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3513801,35,SP,Presente,Presente,Presente,Presente,591.5,633.1,576.7,663.6,860.0,E
25 anos,F,Branca,Brasileiro(a),2012,Não Respondeu,4106902,41,PR,Presente,Presente,Presente,Presente,567.9,621.4,665.2,560.1,620.0,K
19 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,3534401,35,SP,Presente,Presente,Presente,Presente,626.1,607.0,565.7,723.7,940.0,M
Entre 41 e 45 anos,M,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,1301902,13,AM,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,2927408,29,BA,Presente,Presente,Presente,Presente,608.0,556.5,561.1,674.7,600.0,K
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,4305207,43,RS,Presente,Presente,Presente,Presente,490.9,584.8,530.5,533.4,600.0,G
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2208007,22,PI,Presente,Presente,Presente,Presente,459.7,523.3,385.6,411.1,580.0,A
21 anos,F,Parda,Brasileiro(a),2017,Não Respondeu,3550308,35,SP,Presente,Presente,Presente,Presente,609.7,637.6,614.2,622.9,580.0,E
19 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,1502707,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,C
19 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,2202208,22,PI,Presente,Presente,Presente,Presente,390.4,487.4,357.5,439.3,500.0,D
19 anos,F,Amarela,Brasileiro(a)Naturalizado(a),Não informado,Pública,2906873,29,BA,Presente,Presente,Presente,Presente,417.9,451.8,465.6,465.6,400.0,G
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2010,Não Respondeu,5300108,53,DF,Presente,Presente,Presente,Presente,590.9,699.9,638.3,669.7,820.0,K
18 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,3106200,31,MG,Presente,Presente,Presente,Presente,549.5,572.9,556.5,593.4,700.0,D
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3525706,35,SP,Presente,Presente,Presente,Presente,613.5,649.8,603.9,644.6,840.0,D
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,1505908,15,PA,Presente,Presente,Presente,Presente,438.2,383.2,493.3,383.7,440.0,D
Entre 26 e 30 anos,M,Preta,Brasileiro(a),2010,Não Respondeu,3133808,31,MG,Presente,Presente,Presente,Presente,531.1,395.0,443.2,413.7,620.0,D
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,4305108,43,RS,Presente,Presente,Presente,Presente,430.2,402.9,410.3,475.3,440.0,B
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,3106200,31,MG,Presente,Presente,Presente,Presente,492.3,594.8,493.9,623.4,600.0,C
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,3170701,31,MG,Presente,Presente,Presente,Presente,479.8,591.2,546.8,472.0,640.0,G
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Pública,2110500,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,C
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2013,Não Respondeu,2611606,26,PE,Presente,Presente,Presente,Presente,507.9,530.9,537.2,435.1,720.0,C
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3304557,33,RJ,Presente,Presente,Presente,Presente,536.1,517.2,514.6,507.9,940.0,B
18 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,4106902,41,PR,Presente,Presente,Presente,Presente,527.5,594.2,577.9,618.6,540.0,H
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3508405,35,SP,Presente,Presente,Presente,Presente,411.3,392.5,353.9,585.7,520.0,C
21 anos,F,Parda,Brasileiro(a),2017,Não Respondeu,1501402,15,PA,Presente,Presente,Presente,Presente,525.6,566.3,562.1,450.1,660.0,A
20 anos,M,Parda,Brasileiro(a),2019,Não Respondeu,2402303,24,RN,Presente,Presente,Presente,Presente,439.8,383.2,418.2,400.8,460.0,B
17 anos,F,Parda,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,2507705,25,PB,Presente,Presente,Presente,Presente,461.4,439.4,455.7,412.6,440.0,A
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,3204559,32,ES,Presente,Presente,Presente,Presente,561.2,450.7,565.1,650.5,580.0,M
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,3524402,35,SP,Presente,Presente,Presente,Presente,480.6,418.3,441.3,470.1,580.0,C
18 anos,F,Preta,Brasileiro(a),Não informado,Pública,2307106,23,CE,Presente,Presente,Presente,Presente,378.9,441.0,378.4,468.6,320.0,A
21 anos,M,Parda,Brasileiro(a),Não informado,Pública,2305506,23,CE,Presente,Presente,Presente,Presente,448.5,426.1,437.0,420.6,580.0,B
18 anos,F,Amarela,Brasileiro(a),2020,Não Respondeu,4124103,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,A
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2009,Não Respondeu,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,C
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2905206,29,BA,Presente,Presente,Presente,Presente,531.2,618.6,543.3,718.9,940.0,I
Entre 26 e 30 anos,M,Branca,Brasileiro(a),2013,Não Respondeu,2610707,26,PE,Faltou,Faltou,Faltou,Faltou,,,,,,C
19 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,4209102,42,SC,Faltou,Faltou,Faltou,Faltou,,,,,,G
Entre 51 e 55 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,5300108,53,DF,Presente,Presente,Presente,Presente,496.3,376.8,412.9,380.7,340.0,B
Menor de 17 anos,F,Parda,Estrangeiro(a),Não informado,Pública,2110039,21,MA,Presente,Presente,Presente,Presente,399.4,462.4,375.5,417.6,400.0,B
25 anos,F,Preta,Brasileiro(a),2013,Não Respondeu,3552809,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,D
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,5220454,52,GO,Presente,Presente,Presente,Presente,412.1,488.8,454.8,408.4,480.0,B
23 anos,F,Branca,Brasileiro(a),2018,Não Respondeu,3162906,31,MG,Presente,Presente,Presente,Presente,387.5,513.3,423.2,412.7,440.0,D
17 anos,M,Preta,Brasileiro(a),Não informado,Pública,2702900,27,AL,Presente,Presente,Presente,Presente,386.0,500.7,357.4,545.2,620.0,C
19 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,4115754,41,PR,Presente,Presente,Presente,Presente,471.0,518.5,484.9,361.4,520.0,B
22 anos,M,Branca,Brasileiro(a),2016,Não Respondeu,3513801,35,SP,Presente,Presente,Presente,Presente,497.6,559.8,455.8,506.6,580.0,E
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2012,Não Respondeu,3519071,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,B
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,2516201,25,PB,Presente,Presente,Presente,Presente,481.5,393.9,458.0,491.0,780.0,M
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2202604,22,PI,Presente,Presente,Presente,Presente,431.4,527.3,533.7,476.5,820.0,B
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,3136207,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,C
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,2304400,23,CE,Presente,Presente,Presente,Presente,359.6,470.1,425.8,406.3,500.0,B
Entre 31 e 35 anos,F,Preta,Brasileiro(a),Não informado,Não Respondeu,2100055,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,A
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3304557,33,RJ,Presente,Presente,Presente,Presente,550.9,463.4,498.3,425.3,840.0,A
18 anos,F,Amarela,Brasileiro(a),Não informado,Pública,2408102,24,RN,Presente,Presente,Presente,Presente,435.6,589.8,521.3,425.7,740.0,D
18 anos,F,Branca,Brasileiro(a),Não informado,Privada,5300108,53,DF,Presente,Presente,Presente,Presente,411.2,421.2,521.6,564.3,800.0,H
Entre 51 e 55 anos,M,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,2611606,26,PE,Faltou,Faltou,Faltou,Faltou,,,,,,O
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,3152105,31,MG,Presente,Presente,Presente,Presente,559.1,609.1,571.1,736.3,880.0,G
Entre 26 e 30 anos,M,Preta,Brasileiro(a),Não informado,Não Respondeu,3303500,33,RJ,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,1600303,16,AP,Presente,Presente,Presente,Presente,547.5,599.9,549.6,533.6,720.0,B
Entre 26 e 30 anos,M,Branca,Brasileiro(a)Naturalizado(a),2016,Não Respondeu,2207702,22,PI,Presente,Presente,Presente,Presente,446.5,319.5,445.2,476.0,400.0,C
19 anos,M,Parda,Brasileiro(a),2020,Não Respondeu,2702405,27,AL,Presente,Presente,Presente,Presente,551.1,500.7,473.9,628.1,740.0,A
19 anos,F,Branca,Brasileiro(a),Não informado,Pública,2303709,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,B
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,4104808,41,PR,Presente,Presente,Presente,Presente,480.1,620.7,530.4,506.7,700.0,P
19 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,1721000,17,TO,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,4204608,42,SC,Presente,Presente,Presente,Presente,468.7,476.1,475.6,531.2,600.0,I
20 anos,F,Preta,Brasileiro(a),Não informado,Pública,3205309,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,B
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3106200,31,MG,Presente,Presente,Presente,Presente,605.2,663.1,601.0,692.5,880.0,O
19 anos,M,Parda,Brasileiro(a),2019,Não Respondeu,1507904,15,PA,Presente,Presente,Presente,Presente,474.5,570.1,519.2,667.7,940.0,B
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2313401,23,CE,Presente,Presente,Presente,Presente,417.0,408.2,410.0,481.7,440.0,B
22 anos,M,Parda,Brasileiro(a),2018,Não Respondeu,1302603,13,AM,Presente,Presente,Presente,Presente,405.1,357.9,455.3,422.8,600.0,G
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,2604205,26,PE,Presente,Presente,Presente,Presente,537.5,600.8,512.1,549.6,840.0,C
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3203908,32,ES,Presente,Presente,Presente,Presente,458.9,505.4,503.2,570.7,640.0,B
17 anos,F,Parda,Brasileiro(a),Não informado,Privada,2932903,29,BA,Presente,Presente,Presente,Presente,453.3,363.9,458.2,439.2,580.0,I
18 anos,M,Preta,Brasileiro(a),Não informado,Pública,5208707,52,GO,Presente,Presente,Presente,Presente,562.1,582.3,585.7,524.3,820.0,C
24 anos,M,Branca,Brasileiro(a),2014,Não Respondeu,3522208,35,SP,Presente,Presente,Presente,Presente,439.3,522.1,523.2,499.7,580.0,C
20 anos,M,Preta,Brasileiro(a),2018,Não Respondeu,1600303,16,AP,Presente,Presente,Presente,Presente,411.0,482.9,497.7,629.3,660.0,C
Entre 31 e 35 anos,F,Preta,Brasileiro(a),2018,Não Respondeu,4101408,41,PR,Presente,Presente,Presente,Presente,426.5,378.2,396.0,488.4,540.0,C
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,2307601,23,CE,Presente,Presente,Presente,Presente,391.9,625.4,469.6,440.1,500.0,D
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2014,Não Respondeu,2919553,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,F
18 anos,F,Preta,Brasileiro(a),Não informado,Pública,3550308,35,SP,Presente,Presente,Presente,Presente,430.1,485.2,495.1,431.8,0.0,B
Entre 46 e 50 anos,F,Parda,Brasileiro(a),2014,Não Respondeu,3101706,31,MG,Presente,Presente,Presente,Presente,358.7,450.4,397.8,402.6,580.0,B
20 anos,F,Preta,Brasileiro(a),2019,Não Respondeu,5211909,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3106200,31,MG,Presente,Presente,Presente,Presente,624.3,712.7,582.5,760.9,840.0,H
18 anos,M,Branca,Brasileiro(a),Não informado,Pública,3505708,35,SP,Presente,Presente,Presente,Presente,531.4,595.6,602.7,628.4,840.0,H
Menor de 17 anos,F,Parda,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,2609709,26,PE,Presente,Presente,Presente,Presente,419.4,452.9,486.2,437.8,600.0,B
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3550308,35,SP,Faltou,Presente,Presente,Faltou,,427.9,463.4,,440.0,A
Entre 36 e 40 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,3304557,33,RJ,Presente,Presente,Presente,Presente,469.1,517.5,488.0,594.3,600.0,E
18 anos,F,Parda,Brasileiro(a),Não informado,Privada,3143302,31,MG,Presente,Presente,Presente,Presente,629.3,691.4,624.5,717.4,960.0,M
17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,3549904,35,SP,Presente,Presente,Presente,Presente,662.3,675.6,668.4,798.1,860.0,F
Menor de 17 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,4104204,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,J
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2009,Não Respondeu,3518800,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,M
20 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,3143302,31,MG,Presente,Presente,Presente,Presente,492.9,532.8,569.0,608.1,640.0,C
19 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,3106200,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,M,Parda,Brasileiro(a),Não informado,Pública,2700300,27,AL,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,F,Branca,Brasileiro(a)Naturalizado(a),Não informado,Pública,4321501,43,RS,Presente,Presente,Presente,Presente,531.4,506.9,489.7,594.1,820.0,G
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,4101408,41,PR,Presente,Presente,Presente,Presente,469.5,409.8,404.5,497.4,480.0,G
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,2304251,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,C
21 anos,F,Branca,Brasileiro(a),2017,Não Respondeu,4106902,41,PR,Presente,Presente,Presente,Presente,551.4,646.4,588.6,703.8,980.0,C
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,3203205,32,ES,Presente,Presente,Presente,Presente,475.6,370.5,385.0,378.7,360.0,B
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,3201605,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,B
18 anos,M,Preta,Brasileiro(a),2020,Não Respondeu,4112108,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,F
21 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,3304201,33,RJ,Faltou,Faltou,Faltou,Faltou,,,,,,B
19 anos,M,Branca,Brasileiro(a),2019,Não Respondeu,3106705,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,D
Menor de 17 anos,F,Amarela,Brasileiro(a),Não informado,Não Respondeu,4113700,41,PR,Presente,Presente,Presente,Presente,623.0,602.9,634.1,784.8,860.0,L
17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3515509,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,D
21 anos,M,Branca,Brasileiro(a),2018,Não Respondeu,3550308,35,SP,Presente,Presente,Presente,Presente,389.7,555.2,453.6,515.4,780.0,L
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,4113304,41,PR,Presente,Presente,Presente,Presente,545.3,394.4,528.8,469.9,720.0,G
Entre 26 e 30 anos,M,Preta,Brasileiro(a),2012,Não Respondeu,3201308,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,G
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,5217302,52,GO,Presente,Presente,Presente,Presente,456.0,488.4,504.9,471.6,600.0,D
Entre 56 e 60 anos,M,Preta,Brasileiro(a),Não informado,Pública,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,B
19 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,5218805,52,GO,Presente,Presente,Presente,Presente,584.4,669.8,585.3,759.8,900.0,L
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,5201108,52,GO,Presente,Presente,Presente,Presente,475.5,630.1,578.6,718.4,780.0,D
Entre 31 e 35 anos,F,Parda,Brasileiro(a),2007,Não Respondeu,1501402,15,PA,Presente,Presente,Presente,Presente,650.9,571.2,532.6,584.6,740.0,H
18 anos,F,Branca,Brasileiro(a),Não informado,Privada,3201209,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,P
24 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2607901,26,PE,Presente,Presente,Presente,Presente,543.9,650.9,581.6,587.9,720.0,E
20 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,3168705,31,MG,Presente,Presente,Presente,Presente,575.3,658.4,558.2,691.1,780.0,G
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,4316402,43,RS,Presente,Presente,Presente,Presente,400.3,447.0,402.0,542.7,600.0,M
Entre 51 e 55 anos,F,Branca,Brasileiro(a),Não informado,Pública,3550308,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,J
19 anos,M,Preta,Brasileiro(a),2020,Não Respondeu,2611606,26,PE,Presente,Presente,Presente,Presente,441.8,337.4,390.9,446.4,620.0,C
Entre 36 e 40 anos,M,Preta,Brasileiro(a),Antes de 2007,Não Respondeu,2611101,26,PE,Presente,Presente,Presente,Presente,606.5,601.0,602.1,593.9,520.0,H
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3106200,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,P
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2925758,29,BA,Presente,Presente,Presente,Presente,520.8,460.4,488.6,448.1,500.0,B
Entre 31 e 35 anos,M,Parda,Brasileiro(a),2007,Não Respondeu,3300456,33,RJ,Faltou,Faltou,Faltou,Faltou,,,,,,A
20 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,3550308,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,I
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3550308,35,SP,Presente,Presente,Presente,Presente,478.4,513.0,460.0,398.8,360.0,M
20 anos,F,Branca,Brasileiro(a),2019,Não Respondeu,3139409,31,MG,Presente,Presente,Presente,Presente,447.6,544.2,570.7,456.3,800.0,H
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3540705,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,B
22 anos,F,Preta,Brasileiro(a),2016,Não Respondeu,3303500,33,RJ,Faltou,Faltou,Faltou,Faltou,,,,,,D
Entre 41 e 45 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,4205407,42,SC,Faltou,Faltou,Faltou,Faltou,,,,,,C
Menor de 17 anos,F,Branca,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,2704302,27,AL,Faltou,Presente,Presente,Faltou,,391.8,410.4,,360.0,D
17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,3304557,33,RJ,Presente,Presente,Presente,Presente,453.4,372.5,422.9,481.9,640.0,P
20 anos,M,Branca,Brasileiro(a),2019,Não Respondeu,4318903,43,RS,Presente,Presente,Presente,Presente,510.8,410.3,502.2,501.2,660.0,F
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2013,Não Respondeu,2304400,23,CE,Faltou,Faltou,Faltou,Faltou,,,,,,C
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,4127700,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,F
17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3304557,33,RJ,Presente,Presente,Presente,Presente,489.2,566.5,578.6,434.8,500.0,P
Entre 36 e 40 anos,F,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,3106200,31,MG,Presente,Presente,Presente,Presente,465.3,591.1,497.6,476.7,480.0,C
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3550308,35,SP,Presente,Presente,Presente,Presente,428.7,549.5,542.9,474.9,0.0,C
Menor de 17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,5213103,52,GO,Presente,Presente,Presente,Presente,615.7,634.1,576.8,744.0,680.0,Q
18 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,5107909,51,MT,Presente,Presente,Presente,Presente,452.0,463.4,450.8,427.2,560.0,L
19 anos,M,Branca,Brasileiro(a),2019,Não Respondeu,3546405,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,H
18 anos,M,Preta,Brasileiro(a),Não informado,Pública,2930501,29,BA,Presente,Presente,Presente,Presente,446.1,538.5,443.2,489.1,500.0,F
20 anos,M,Preta,Brasileiro(a),2019,Não Respondeu,3522208,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,C
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3550308,35,SP,Presente,Presente,Presente,Presente,627.3,697.0,631.2,696.4,800.0,H
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,3169307,31,MG,Presente,Presente,Presente,Presente,470.3,538.9,500.1,616.4,880.0,F
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,2301901,23,CE,Presente,Presente,Presente,Presente,525.4,613.2,602.5,536.3,780.0,F
20 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,3143302,31,MG,Presente,Presente,Presente,Presente,499.9,606.2,605.4,494.8,840.0,M
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,3550308,35,SP,Presente,Presente,Presente,Presente,584.3,677.6,591.8,527.6,720.0,B
19 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,3516200,35,SP,Presente,Presente,Presente,Presente,384.5,379.1,361.5,403.4,600.0,A
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,4306106,43,RS,Presente,Presente,Presente,Presente,371.0,448.7,386.1,453.6,560.0,C
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,2112506,21,MA,Presente,Presente,Presente,Presente,422.9,419.0,349.7,407.6,620.0,C
17 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,2308401,23,CE,Presente,Presente,Presente,Presente,496.6,438.5,416.5,637.5,460.0,E
Menor de 17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,1716109,17,TO,Presente,Presente,Presente,Presente,476.2,551.0,440.4,645.0,920.0,O
