TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
Entre 26 e 30 anos,F,Parda,Brasileiro(a),2011,Não Respondeu,1702109,17,TO,Presente,Presente,Presente,Presente,439.3,449.6,501.5,536.2,0.0,C
Entre 46 e 50 anos,M,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,1600303,16,AP,Faltou,Presente,Presente,Faltou,,514.5,398.2,,500.0,N
18 anos,M,Parda,Brasileiro(a),Não informado,Pública,2509107,25,PB,Presente,Presente,Presente,Presente,478.7,557.0,572.0,470.8,500.0,C
Entre 26 e 30 anos,F,Preta,Brasileiro(a),2010,Não Respondeu,3118601,31,MG,Presente,Presente,Presente,Presente,547.9,584.2,643.7,562.5,400.0,C
18 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,3157005,31,MG,Presente,Presente,Presente,Presente,367.1,362.6,382.6,431.2,560.0,B
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,3518800,35,SP,Presente,Presente,Presente,Presente,425.4,406.0,494.7,506.7,660.0,D
18 anos,F,Branca,Brasileiro(a),Não informado,Privada,1501402,15,PA,Presente,Presente,Presente,Presente,545.7,554.4,576.7,488.7,900.0,M
17 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,5208707,52,GO,Presente,Presente,Presente,Presente,526.1,561.9,523.7,495.0,580.0,L
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,3503901,35,SP,Presente,Presente,Presente,Presente,530.1,689.3,582.6,683.9,840.0,I
19 anos,M,Preta,Brasileiro(a),2019,Não Respondeu,2111300,21,MA,Faltou,Faltou,Faltou,Faltou,,,,,,C
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,2911709,29,BA,Presente,Presente,Presente,Presente,474.1,486.2,423.0,429.4,0.0,B
